epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,969.016,0.81257,1.72726,1.42842,0.89625,0.68435,0.81271,0.56928,1.07798,1.52732,1.48987,0.000663492,0.000663492,0.000663492
2,1571.45,0.7904,1.05303,1.41017,0.78719,0.66719,0.76455,0.56417,1.11873,1.33528,1.63602,0.00119847,0.00119847,0.00119847
3,2414.04,0.78079,0.87116,1.39906,0.82536,0.72414,0.83314,0.62812,0.99776,1.06003,1.45891,0.00160145,0.00160145,0.00160145
4,2886.08,0.73099,0.75051,1.34724,0.8088,0.81963,0.86962,0.6818,0.86073,0.87351,1.22503,0.001406,0.001406,0.001406
5,4380.02,0.69764,0.69929,1.31009,0.90059,0.83554,0.92505,0.72837,0.85588,0.75173,1.2502,0.001208,0.001208,0.001208
6,4956.24,0.66671,0.61554,1.2763,0.88996,0.86472,0.93018,0.72449,0.86616,0.72492,1.23935,0.00101,0.00101,0.00101
7,6003.81,0.62972,0.55824,1.23694,0.90156,0.88594,0.94228,0.75735,0.76432,0.64516,1.11682,0.000812,0.000812,0.000812
8,6543.98,0.58839,0.51537,1.20348,0.95421,0.89655,0.95734,0.79651,0.70125,0.53315,1.08711,0.000614,0.000614,0.000614
9,8118.97,0.55938,0.46466,1.18019,0.96098,0.92308,0.97714,0.8126,0.68995,0.5057,1.04899,0.000416,0.000416,0.000416
10,8594.79,0.53294,0.42264,1.16075,0.95628,0.92823,0.97516,0.82208,0.65788,0.48505,1.02809,0.000218,0.000218,0.000218
