epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2336.17,1.95077,2.2405,1.90117,0.54671,0.44073,0.4408,0.20267,1.88612,1.91146,1.92877,0.000333292,0.000333292,0.0670041
2,4427.71,1.84439,2.07773,1.82246,0.61253,0.55184,0.54405,0.25955,1.70261,1.6448,1.74526,0.000666463,0.000666463,0.0340039
3,6504.96,1.75244,1.90305,1.7435,0.6375,0.60762,0.59299,0.29803,1.61151,1.49677,1.66605,0.000998982,0.000998982,0.00100309
4,8652.19,1.68891,1.77116,1.69352,0.68367,0.63632,0.66451,0.35669,1.54385,1.35654,1.60815,0.000997803,0.000997803,0.000997803
5,10812.3,1.63037,1.66258,1.64896,0.71631,0.66525,0.70071,0.38553,1.50223,1.28588,1.59004,0.000996097,0.000996097,0.000996097
6,12987.1,1.59602,1.58463,1.6217,0.73506,0.68588,0.72729,0.40712,1.47065,1.2165,1.55606,0.000993906,0.000993906,0.000993906
7,15167.3,1.55757,1.5244,1.59347,0.75609,0.69973,0.75282,0.43174,1.44148,1.16252,1.53516,0.000991232,0.000991232,0.000991232
8,17339.5,1.5331,1.47269,1.57604,0.75883,0.71099,0.76747,0.44547,1.42586,1.12353,1.51545,0.000988079,0.000988079,0.000988079
9,2080.26,1.50822,1.42675,1.55883,0.77269,0.72304,0.78443,0.4601,1.41336,1.08084,1.50745,0.000984449,0.000984449,0.000984449
10,4152.67,1.48961,1.39493,1.5447,0.79016,0.73328,0.79666,0.4721,1.39716,1.05751,1.49052,0.000980345,0.000980345,0.000980345
11,6212.47,1.47301,1.36005,1.53189,0.80148,0.74172,0.80705,0.47974,1.39044,1.02927,1.48827,0.000975773,0.000975773,0.000975773
12,8268.51,1.45784,1.33578,1.51657,0.80692,0.75409,0.81529,0.48813,1.377,1.01276,1.47458,0.000970736,0.000970736,0.000970736
13,10668.5,1.44119,1.30005,1.49997,0.81638,0.76033,0.82356,0.49481,1.37081,0.98895,1.46857,0.000965239,0.000965239,0.000965239
14,13828.9,1.42517,1.27553,1.48963,0.82777,0.76664,0.8307,0.50226,1.36138,0.9707,1.46084,0.000959289,0.000959289,0.000959289
15,16057,1.40157,1.24344,1.4754,0.83193,0.77462,0.83519,0.50753,1.35438,0.95364,1.45451,0.000952889,0.000952889,0.000952889
16,18146.5,1.39604,1.22828,1.46597,0.83882,0.78059,0.83909,0.51219,1.34628,0.94056,1.4477,0.000946048,0.000946048,0.000946048
17,21761.3,1.39698,1.22409,1.46699,0.84008,0.78639,0.84255,0.51578,1.33998,0.93213,1.44134,0.000938772,0.000938772,0.000938772
18,24145.7,1.37773,1.19898,1.44987,0.84284,0.78912,0.84462,0.51919,1.33597,0.92352,1.43686,0.000931067,0.000931067,0.000931067
19,26243.7,1.37276,1.18734,1.44896,0.84532,0.78912,0.84671,0.52256,1.33161,0.91455,1.43227,0.000922942,0.000922942,0.000922942
20,28308.5,1.36561,1.16909,1.44438,0.84894,0.79201,0.84952,0.5254,1.32811,0.90693,1.42878,0.000914405,0.000914405,0.000914405
21,30372.7,1.35065,1.15365,1.43317,0.85285,0.79424,0.85184,0.52798,1.32386,0.90046,1.42524,0.000905463,0.000905463,0.000905463
22,32480.1,1.33873,1.13518,1.41737,0.85426,0.79756,0.85398,0.53071,1.31999,0.89477,1.42167,0.000896127,0.000896127,0.000896127
23,34674.5,1.33532,1.12322,1.41508,0.85649,0.79829,0.8565,0.53349,1.31637,0.88876,1.41842,0.000886404,0.000886404,0.000886404
24,36858.1,1.32972,1.10738,1.41458,0.85772,0.80059,0.8583,0.53513,1.31321,0.88248,1.41493,0.000876305,0.000876305,0.000876305
25,39042,1.31861,1.09338,1.40151,0.85887,0.80312,0.86028,0.53753,1.3104,0.87681,1.4118,0.000865839,0.000865839,0.000865839
26,41210.1,1.31148,1.08353,1.39632,0.86346,0.80557,0.86241,0.5398,1.30788,0.87163,1.40844,0.000855018,0.000855018,0.000855018
27,43420.1,1.29925,1.07254,1.39442,0.8635,0.80752,0.8641,0.54166,1.30517,0.86683,1.40526,0.000843851,0.000843851,0.000843851
28,45638.7,1.29496,1.05799,1.38439,0.86618,0.80802,0.86582,0.54368,1.30254,0.86162,1.40203,0.000832349,0.000832349,0.000832349
29,47845.2,1.28262,1.0496,1.37626,0.86827,0.80918,0.86755,0.54528,1.30009,0.85646,1.39914,0.000820525,0.000820525,0.000820525
30,50061.8,1.27122,1.03163,1.371,0.87078,0.81033,0.8693,0.54734,1.29765,0.85119,1.39656,0.000808389,0.000808389,0.000808389
31,53512.7,1.26983,1.0229,1.36636,0.8734,0.8103,0.87081,0.54902,1.29473,0.84544,1.39367,0.000795954,0.000795954,0.000795954
